Driver_ID,Driver_Name,City_ID,Trips_Completed,Vehicle_ID,Joined_since
200049,Sneha Joshi,6,1201,1271,19-04-2022
200050,Amara Kapoor,5,877,1017,01-03-2024
200051,Ayush Saxena,4,2095,809,17-09-2023
200052,Bani Lodi,1,2915,1275,04-07-2024
200053,Rahul Negi,5,1118,188,04-01-2024
200054,Kabir Mahajan,5,814,668,07-07-2024
200055,Zoya Menon,6,2647,360,23-05-2024
200056,Samarth Sangwan,1,688,183,15-12-2022
200057,Kyra Kapoor,3,757,581,05-08-2020
200058,Agastya Mann,4,324,1028,03-02-2024
200059,Vanya Jain,2,1416,422,15-08-2023
200060,Advait Kaur,1,188,738,26-12-2021
200061,Madhav Puri,4,596,577,21-02-2022
200062,Nandini Deol,1,2117,1410,29-11-2021
200063,Sara Bhatt,2,1998,1252,22-04-2023
200064,Ranveer Dhanda,3,988,194,19-01-2020
200065,Pari Lodi,1,1877,889,07-10-2019
200066,Prisha Solanki,5,1107,803,19-12-2022
200067,Sneha Thakur,1,2513,1049,16-03-2020
200068,Myra Sood,5,1157,1427,24-10-2022
200069,Zara Deswal,1,360,1146,06-08-2023
200070,Kiran Jakhar,2,2666,722,28-11-2024
200071,Kaira Malik,5,2604,255,14-08-2021
200072,Daksh Iyer,4,2208,506,17-03-2022
200073,Kaira Sangwan,6,1959,430,11-08-2021
200074,Laksh Banerjee,3,1140,1331,01-01-2022
200075,Aadhya Punia,3,2718,1190,30-12-2020
200076,Shaurya Hooda,2,2822,1306,16-05-2020
200077,Ranveer Shetty,1,657,615,24-02-2023
200078,Samarth Dhillon,5,458,373,18-11-2024
200079,Dhruv Sinha,4,1148,516,26-02-2022
200080,Ishani Bhatt,1,2861,471,16-10-2023
200081,Vanya Vats,1,252,388,16-01-2022
200082,Rajesh Pathak,2,401,1060,03-11-2020
200083,Riya Punia,1,1996,792,02-07-2023
200084,Anvi Iyer,6,1550,47,24-02-2021
200085,Samarth Kaur,6,1569,1191,27-05-2023
200086,Madhav Gupta,4,2526,121,22-06-2022
200087,Dev Brar,1,677,524,09-09-2019
200088,Sanjay Tripathi,2,1640,255,13-12-2023
200089,Aadhya Phogat,6,151,291,24-06-2024
200090,Anika Thakur,5,580,780,12-08-2020
200091,Kyra Bhatt,6,465,279,01-12-2024
200092,Meher Brar,1,2729,1423,19-11-2023
200093,Pari Pandey,6,366,1165,16-11-2020
200094,Amit Rao,4,394,854,29-04-2023
200095,Meher Chaturvedi,5,2429,1163,29-03-2022
200096,Yuvraj Lamba,5,737,924,20-04-2024
200097,Rishi Kapoor,5,324,1040,19-12-2022
200098,Rudra Puri,4,975,472,10-02-2023
200099,Manan Chatterjee,1,2425,448,14-02-2022
200100,Ananya Shah,2,600,100,25-06-2022
200101,Gia Rao,4,1752,473,07-08-2022
200102,Hrithik Gill,3,416,965,30-10-2024
200103,Arush Bhardwaj,2,2582,160,23-09-2020
200104,Aarya Jain,4,2973,463,27-10-2022
200105,Atharv Singh,6,336,445,30-12-2019
200106,Meher Dhillon,3,2274,689,06-05-2023
200107,Reyansh Warraich,3,1002,847,07-04-2020
200108,Rishi Yadav,4,2684,721,14-09-2024
200109,Isha Garg,3,562,253,27-10-2023
200110,Kavya Tiwari,2,1977,594,04-01-2021
200111,Varun Bhardwaj,4,2951,805,31-03-2021
200112,Kartik Trivedi,1,1528,1016,13-10-2019
200113,Sanjay Bhatt,3,2774,1299,12-01-2023
200114,Myra Malik,6,1003,1462,28-07-2024
200115,Kyra Goswami,5,2605,719,26-12-2019
200116,Laksh Khatri,4,2241,610,03-04-2022
200117,Rahul Deswal,6,48,647,14-07-2019
200118,Anjali Awasthi,3,2923,438,13-12-2021
200119,Riya Dahiya,5,2725,359,04-07-2020
200120,Sanjay Pillai,4,1122,1235,27-01-2024
200121,Meher Suri,5,2327,588,24-10-2022
200122,Amit Mahajan,1,1098,1022,29-10-2022
200123,Zara Gautam,6,172,1146,26-01-2023
200124,Naina Patel,3,1077,1171,27-04-2021
200125,Vihaan Saxena,5,1412,1227,30-08-2020
200126,Ayush Dutta,6,1872,356,18-01-2021
200127,Raghav Goel,3,1793,1233,29-11-2022
200128,Shanaya Sangwan,4,35,1183,26-04-2022
200129,Atharv Deshmukh,1,1461,1312,28-12-2021
200130,Meher Prasad,6,167,511,07-12-2019
200131,Saanvi Puri,3,1137,1497,11-12-2019
200132,Anvi Bajpai,2,1278,1081,10-07-2022
200133,Kavya Gautam,1,2740,253,30-09-2021
200134,Ishani Sandhu,2,2084,1189,11-03-2021
200135,Aditya Tiwari,1,1890,1348,26-03-2021
200136,Raghav Chauhan,6,2146,428,17-06-2021
200137,Ayaan Choudhury,2,1101,1193,19-11-2024
200138,Gia Sidhu,3,2657,580,03-04-2024
200139,Vihaan Gill,6,1940,101,01-02-2024
200140,Rudra Dhillon,5,867,1036,02-10-2020
200141,Vivaan Deswal,6,1369,492,24-05-2023
200142,Aadhya Shukla,1,2058,665,02-03-2024
200143,Anvi Negi,2,1532,1338,04-01-2022
200144,Aaryan Deswal,6,2121,227,11-05-2023
200145,Shaurya Chatterjee,5,823,1040,18-09-2019
200146,Shivaay Bose,3,1411,308,08-03-2023
200147,Kunal Bajpai,1,573,1150,31-10-2023
200148,Pari Mishra,1,2356,237,08-08-2019
200149,Dev Dixit,2,1533,866,11-11-2021
200150,Arav Hooda,6,330,1043,16-06-2022
200151,Anika Chauhan,6,360,708,08-08-2023
200152,Navya Deswal,3,1276,11,12-02-2024
200153,Zara Patel,2,2476,189,07-12-2022
200154,Reyansh Rathee,2,977,175,02-08-2023
200155,Aryan Gill,2,2821,549,09-09-2022
200156,Sana Rawat,5,2979,549,08-04-2021
200157,Anvi Grover,1,271,84,27-08-2019
200158,Avni Kapoor,3,1213,1051,22-12-2020
200159,Diya Dhillon,4,852,1461,13-12-2019
200160,Jiya Kapoor,5,2188,390,25-08-2023
200161,Ananya Kapoor,1,1213,431,20-01-2021
200162,Atharv Punia,3,1433,684,30-01-2020
200163,Manan Sinha,3,1087,244,28-05-2021
200164,Kunal Menon,5,2394,577,19-03-2024
200165,Arjun Sandhu,6,404,30,12-04-2020
200166,Afreen Khan,2,1274,550,12-09-2022
200167,Zara Lamba,1,1797,860,21-02-2022
200168,Ishani Kadian,3,788,1104,13-12-2019
200169,Aditya Rawat,6,2109,1025,16-01-2020
200170,Samarth Rathee,2,2143,184,02-09-2024
200171,Ranbir Banerjee,6,386,580,09-01-2020
200172,Kavya Chatterjee,5,1060,1465,06-11-2021
200173,Vivaan Banerjee,1,76,541,09-09-2021
200174,Shivaay Iyer,4,402,590,16-06-2023
200175,Ananya Chatterjee,3,523,437,27-11-2023
200176,Tanu Bhatt,4,1079,1413,21-03-2023
200177,Vivaan Saxena,5,485,733,28-04-2023
200178,Aarya Goel,5,1904,296,13-08-2021
200179,Yuvraj Jakhar,5,374,194,15-02-2020
200180,Pooja Pathak,1,2634,598,19-07-2020
200181,Meher Goel,5,2077,197,10-02-2022
200182,Vihaan Solanki,3,2741,978,14-07-2021
200183,Isha Dahiya,3,1264,1264,04-08-2023
200184,Abhimanyu Patel,4,226,253,02-04-2020
200185,Ayaan Sandhu,2,149,189,25-01-2024
200186,Abhimanyu Sharma,3,1485,1226,09-05-2021
200187,Vivaan Randhawa,3,2967,809,12-05-2024
200188,Rudra Sangwan,6,882,609,02-10-2023
200189,Rahul Dubey,2,1073,1188,29-11-2024
200190,Afreen Sangwan,6,2544,1270,30-12-2019
200191,Rahul Punia,3,493,1140,23-08-2024
200192,Aryan Menon,1,1940,294,24-03-2022
200193,Arjun Oza,2,1554,1224,13-04-2021
200194,Daksh Bajwa,4,666,442,26-07-2023
200195,Vivaan Rawat,3,1555,1226,27-08-2020
200196,Sara Khan,3,2671,1320,29-10-2024
200197,Riya Sahay,6,1137,76,28-11-2019
200198,Isha Verma,4,2500,1084,18-07-2020
200199,Afreen Sekhon,1,1708,972,01-03-2024
200200,Sana Malhotra,6,883,1377,16-01-2021
200201,Myra Chatterjee,1,2011,883,25-07-2023
200202,Prisha Garg,2,1616,251,19-07-2020
200203,Kiaan Suri,5,258,297,09-06-2024
200204,Inaya Bhardwaj,2,1551,1405,20-10-2022
200205,Abhimanyu Mehra,5,2527,457,21-01-2021
200206,Siddharth Kadian,5,1407,894,01-10-2024
200207,Ishaan Menon,4,2280,264,09-03-2020
200208,Suhani Dhanda,1,1485,542,12-11-2020
200209,Advait Lodi,2,948,813,31-07-2020
200210,Kiaan Oza,2,144,472,05-04-2022
200211,Aditya Malik,6,468,1397,21-10-2020
200212,Raghav Shah,1,2790,576,16-06-2021
200213,Aryan Pathak,4,1080,425,27-09-2022
200214,Shivaay Grewal,5,982,94,28-12-2020
200215,Sameer Chatterjee,5,2234,416,15-05-2022
200216,Siddharth Bajwa,2,451,883,27-12-2021
200217,Reyansh Goswami,3,453,1358,25-04-2021
200218,Aaryan Yadav,3,159,1493,26-07-2022
200219,Aarya Prasad,5,2453,1173,23-11-2020
200220,Reyansh Grewal,4,1254,1417,09-01-2024
200221,Anjali Mehra,3,2595,434,28-05-2021
200222,Varun Rathee,2,392,815,27-04-2022
200223,Rishi Chaturvedi,3,505,1025,15-02-2024
200224,Aarav Deshmukh,5,400,847,16-11-2020
200225,Sneha Verma,1,2761,1175,14-05-2022
200226,Aavya Punia,6,914,991,15-09-2020
200227,Avni Jakhar,5,303,1199,24-01-2022
200228,Arush Trivedi,2,2860,824,15-02-2023
200229,Aarya Malik,6,2648,537,02-06-2021
200230,Aryan Chaturvedi,4,2455,218,21-01-2020
200231,Pooja Bahl,1,1457,78,27-01-2023
200232,Sunita Malik,1,1620,391,12-05-2022
200233,Avni Virk,5,2192,218,19-09-2019
200234,Madhav Rawat,6,1189,1424,01-05-2020
200235,Jiya Tiwari,2,2892,1258,08-02-2021
200236,Anshika Gill,2,646,1164,19-10-2023
200237,Shaurya Bose,5,1362,1333,11-08-2022
200238,Anvi Pandey,6,1191,815,17-08-2019
200239,Prisha Bajpai,6,2040,1383,19-07-2023
200240,Vikram Chauhan,5,154,1373,22-11-2020
200241,Siya Reddy,4,1731,259,30-06-2024
200242,Kritika Kaushik,2,1402,314,28-04-2023
200243,Anika Pathak,2,2846,1317,20-04-2020
200244,Tanu Sangwan,6,1305,1003,13-08-2023
200245,Rajesh Rawat,4,490,115,14-03-2021
200246,Sneha Kaur,4,2788,297,15-05-2023
200247,Arav Grewal,6,537,181,29-05-2020
200248,Kabir Sood,2,1567,603,09-06-2023
200249,Agastya Dhanda,6,2218,621,13-04-2021
200250,Anjali Jakhar,3,1122,796,26-04-2022
200251,Aaryan Pillai,3,1376,1250,22-10-2023
200252,Zunaira Malhotra,3,404,408,31-10-2024
200253,Vikram Sehrawat,6,622,1145,17-09-2024
200254,Zunaira Gautam,1,2395,1272,25-11-2023
200255,Naina Agarwal,5,1799,1423,02-07-2024
200256,Dhruv Bajpai,4,1598,1234,10-02-2021
200257,Kavya Kohli,2,2354,787,07-04-2023
200258,Zoya Solanki,3,338,1140,12-12-2021
200259,Saanvi Vats,2,2821,419,23-10-2023
200260,Ishant Sidhu,4,2701,1305,26-10-2023
200261,Kiran Punia,6,753,303,07-03-2024
200262,Raghav Phogat,1,797,963,07-12-2022
200263,Ananya Sehrawat,2,1653,1016,21-03-2021
200264,Anshika Bajpai,5,2252,501,26-06-2020
200265,Ishita Sahay,2,268,461,14-05-2023
200266,Anvi Mann,4,2501,447,24-04-2024
200267,Amara Nair,4,883,642,10-12-2021
200268,Ranbir Solanki,4,1671,956,14-03-2022
200269,Gia Pathak,2,2791,1079,16-06-2020
200270,Ishaan Sangwan,1,2688,508,07-01-2023
200271,Advait Singh,3,2571,1240,18-04-2024
200272,Dev Jain,4,2872,1166,30-04-2021
200273,Aryan Pandey,3,2355,1377,28-10-2023
200274,Samarth Phogat,6,73,1147,24-07-2024
200275,Isha Garg,3,541,52,25-07-2023
200276,Naina Khatri,4,2931,1426,24-08-2024
200277,Bani Mahajan,3,750,450,14-04-2020
200278,Yuvraj Chatterjee,4,1020,51,03-08-2021
200279,Diya Phogat,1,1834,753,11-06-2024
200280,Reyansh Patel,4,2223,495,03-12-2023
200281,Laksh Sekhon,4,2575,854,28-11-2019
200282,Manan Jain,4,819,1164,07-04-2020
200283,Zoya Bose,6,1774,772,16-07-2023
200284,Naina Trivedi,4,2921,660,23-04-2021
200285,Suhani Sangwan,6,2771,1236,26-04-2022
200286,Kartik Menon,2,206,807,20-07-2023
200287,Shivaay Verma,3,2599,1284,08-04-2020
200288,Atharv Bhardwaj,6,1581,1306,28-07-2023
200289,Zara Rawat,3,905,962,23-02-2020
200290,Manan Suri,3,1676,591,18-02-2021
200291,Sameer Hooda,2,719,498,15-04-2023
200292,Nandini Chaturvedi,5,2245,364,01-02-2020
200293,Kavya Malik,3,2836,803,18-04-2024
200294,Atharv Goel,1,2715,967,25-11-2020
200295,Yuvraj Sekhon,6,530,903,14-06-2020
200296,Inaya Bajpai,3,1492,347,07-03-2024
200297,Kartik Tiwari,6,615,75,23-01-2024
200298,Agastya Bansal,5,2260,404,07-10-2019
200299,Jiya Tripathi,6,761,1353,09-04-2020
200300,Ishani Pandey,6,1807,555,22-07-2023
200301,Kaira Mann,6,1814,545,31-10-2020
200302,Zara Reddy,1,1872,121,02-10-2019
200303,Ishita Malhotra,5,1605,894,29-09-2022
200304,Reyansh Yadav,3,1760,1130,17-01-2021
200305,Anvi Negi,5,936,332,21-08-2024
200306,Kiara Chauhan,5,2988,342,22-05-2021
200307,Sunita Mahajan,6,697,2,21-07-2019
200308,Ranveer Pandey,3,839,1172,26-10-2023
200309,Zunaira Sangwan,1,2019,763,17-01-2024
200310,Kiaan Virk,3,1653,565,04-12-2022
200311,Shivaay Virk,3,1126,1471,02-05-2024
200312,Anjali Khan,4,1868,63,10-02-2020
200313,Saanvi Shukla,2,1906,413,13-09-2023
200314,Bani Hooda,4,876,20,25-06-2022
200315,Kunal Patel,3,1494,626,11-11-2021
200316,Shivaay Chaturvedi,2,644,1203,25-02-2021
200317,Kaira Goswami,2,2986,869,05-10-2024
200318,Vihaan Dhanda,3,2042,1163,06-08-2022
200319,Ayush Hooda,1,2851,1448,19-11-2023
200320,Myra Pandey,4,2553,820,19-06-2021
200321,Aadhya Pathak,3,1689,1097,22-06-2020
200322,Zoya Kaushik,3,1657,21,21-02-2021
200323,Daksh Sandhu,3,2491,1014,02-11-2020
200324,Kyra Bhardwaj,6,1131,112,14-05-2021
200325,Varun Sekhon,4,476,131,28-03-2021
200326,Zara Malik,2,2051,938,25-05-2021
200327,Deepak Deshmukh,2,2115,89,18-05-2021
200328,Aarav Khan,6,294,22,24-01-2024
200329,Siya Sehrawat,3,1186,92,10-09-2023
200330,Samarth Saxena,3,2081,561,25-01-2024
200331,Deepak Solanki,3,2662,316,06-11-2019
200332,Vivaan Dhanda,4,853,1251,06-02-2023
200333,Siddharth Bahl,2,1722,571,03-08-2022
200334,Dev Shah,1,2461,1075,17-08-2023
200335,Samarth Grover,6,270,494,19-05-2023
200336,Riya Nair,6,2436,361,21-06-2023
200337,Ranveer Taneja,4,1331,1462,22-12-2019
200338,Pari Rathee,2,2648,458,09-11-2024
200339,Navya Vats,3,61,517,10-11-2021
200340,Rajesh Bhardwaj,2,1862,1329,28-12-2022
200341,Rajesh Dhillon,6,483,922,25-11-2021
200342,Myra Sandhu,1,524,1087,14-06-2021
200343,Ayaan Chaturvedi,5,1231,758,01-10-2019
200344,Anika Jain,1,239,1307,01-10-2019
200345,Aryan Bajwa,1,2041,928,02-01-2024
200346,Ishan Dutta,5,2306,1477,02-10-2021
200347,Samarth Verma,6,2104,24,01-07-2021
200348,Manan Verma,2,1207,599,23-03-2023
200349,Myra Dutta,3,2997,1042,30-09-2024
200350,Nandini Jain,4,2029,1206,30-10-2020
200351,Hrithik Chaturvedi,3,2244,1279,30-06-2021
200352,Rahul Sehrawat,2,1679,1280,01-02-2024
200353,Ayush Rawat,5,2424,178,26-07-2021
200354,Ishan Dagar,2,1545,695,02-11-2021
200355,Kiara Suri,6,1079,153,08-03-2021
200356,Amara Deswal,1,1597,1244,30-10-2023
200357,Ishan Saxena,1,466,1227,12-12-2019
200358,Ranbir Chatterjee,2,2021,1200,01-12-2020
200359,Laksh Chauhan,2,2018,56,16-11-2023
200360,Varun Punia,1,1082,933,14-02-2023
200361,Abhimanyu Chauhan,1,624,303,31-10-2019
200362,Samarth Kapoor,3,121,263,11-12-2022
200363,Rudra Shetty,4,1629,66,20-08-2024
200364,Advait Kulkarni,1,2365,1365,03-04-2023
200365,Rudra Goel,3,1201,972,26-06-2022
200366,Isha Grover,4,2216,1239,26-06-2020
200367,Gia Chatterjee,6,361,786,02-11-2021
200368,Zoya Solanki,4,2909,804,15-03-2024
200369,Mishti Gautam,4,493,325,30-04-2020
200370,Rudra Pillai,6,306,755,16-03-2024
200371,Sameer Thakur,2,1536,792,24-01-2022
200372,Suhani Trivedi,4,1394,141,21-02-2022
200373,Anvi Lamba,3,99,1013,16-12-2019
200374,Afreen Chaturvedi,1,1750,949,05-08-2022
200375,Aryan Lodi,6,650,1051,18-07-2019
200376,Isha Grewal,5,1178,954,13-11-2024
200377,Shanaya Bajwa,2,2834,1002,13-11-2019
200378,Daksh Pathak,3,2105,770,03-01-2024
200379,Aditya Virk,3,1722,963,05-07-2020
200380,Dev Chauhan,5,759,181,31-01-2024
200381,Ananya Sidhu,3,2887,198,21-01-2024
200382,Kritika Agarwal,2,1648,30,23-04-2024
200383,Abhimanyu Pillai,2,2051,736,05-06-2021
200384,Siddharth Pillai,1,2115,1328,15-07-2024
200385,Riddhima Rawat,5,2885,84,01-05-2021
200386,Mishti Saxena,2,727,564,21-11-2022
200387,Riya Bansal,6,2421,441,16-09-2022
200388,Rudra Choudhury,5,2304,136,27-09-2023
200389,Vivaan Saxena,4,746,1066,08-11-2022
200390,Naina Tiwari,3,2507,863,18-11-2021
200391,Prisha Shah,5,1314,189,27-08-2022
200392,Arav Yadav,1,1098,132,23-09-2019
200393,Gia Bansal,6,2804,1102,21-05-2023
200394,Sneha Dahiya,3,2719,72,31-12-2022
200395,Avni Pillai,2,854,361,10-10-2019
200396,Riddhima Mann,5,611,283,16-03-2023
200397,Navya Suri,4,2430,783,03-06-2020
200398,Riya Mahajan,4,1415,148,28-03-2022
200399,Inaya Kadian,1,2023,449,03-04-2020
200400,Zoya Mishra,6,639,98,24-01-2021
200401,Kritika Bhardwaj,5,1000,35,25-08-2021
200402,Aryan Kapoor,5,1160,1309,18-11-2022
200403,Zara Sekhon,1,2482,528,06-05-2024
200404,Aditya Malik,3,444,712,25-12-2023
200405,Inaya Dahiya,6,1703,339,17-07-2023
200406,Daksh Solanki,3,2003,1489,07-07-2023
200407,Rajesh Thakur,5,2454,254,18-06-2023
200408,Shivaay Dubey,5,2480,324,23-11-2021
200409,Preeti Phogat,4,1756,208,02-04-2024
200410,Nandini Deshmukh,5,1380,1311,27-08-2020
200411,Shivaay Menon,3,2561,488,15-07-2020
200412,Kartik Goswami,2,1090,1466,07-08-2023
200413,Aavya Yadav,5,2093,668,24-01-2024
200414,Ranveer Chaturvedi,5,2507,1102,17-11-2019
200415,Anshika Suri,6,2628,1449,14-03-2020
200416,Rajesh Sangwan,3,2276,1057,11-08-2023
200417,Amit Gautam,3,1179,215,02-12-2024
200418,Zoya Brar,1,1519,1488,02-01-2023
200419,Anjali Bhatt,5,288,849,06-09-2023
200420,Aaryan Shetty,4,234,156,28-05-2021
200421,Amara Grover,6,1080,1174,15-12-2023
200422,Shivaay Dhillon,5,2049,1357,25-01-2020
200423,Meher Rathee,3,518,1216,25-05-2022
200424,Reyansh Nair,2,342,766,26-02-2022
200425,Shaurya Brar,5,984,671,06-03-2021
200426,Gia Bansal,4,358,946,05-02-2024
200427,Zara Mishra,3,262,1225,20-04-2021
200428,Vanya Verma,5,967,1475,26-05-2021
200429,Krishna Oza,1,535,527,19-10-2023
200430,Ishita Pandey,3,1017,111,23-09-2022
200431,Sara Mahajan,3,2911,696,03-06-2020
200432,Reyansh Menon,1,133,1448,09-03-2024
200433,Dhruv Brar,5,300,1205,29-12-2021
200434,Ishant Banerjee,3,963,419,25-11-2024
200435,Sunita Deol,1,144,352,30-03-2020
200436,Diya Negi,5,781,474,01-07-2020
200437,Inaya Shukla,4,1038,527,03-04-2022
200438,Ranveer Rao,3,218,1289,30-09-2020
200439,Ishani Awasthi,5,2601,1481,31-08-2020
200440,Pooja Chatterjee,6,2929,1468,21-06-2022
200441,Aryan Phogat,1,1642,856,29-09-2019
200442,Sara Mehra,1,1732,1160,12-10-2021
200443,Sana Pathak,1,2370,71,22-01-2024
200444,Aarav Pandey,5,1182,265,02-09-2024
200445,Prisha Reddy,3,1420,1175,18-03-2021
200446,Ananya Shah,1,2594,108,19-01-2024
200447,Inaya Deswal,2,2111,312,13-11-2023
200448,Laksh Hooda,2,1788,291,23-11-2020
200449,Advait Gill,3,2840,454,27-12-2019
200450,Deepak Puri,6,1891,1130,19-11-2021
200451,Aaryan Goswami,2,1887,796,03-01-2022
200452,Advait Puri,3,367,1438,11-10-2022
200453,Kunal Gupta,4,1286,1030,17-04-2023
200454,Ishani Chaturvedi,4,1650,263,24-11-2020
200455,Raghav Kaur,4,2451,1185,29-11-2019
200456,Arush Iyer,2,188,71,29-06-2022
200457,Dev Mehra,2,1379,1156,17-05-2022
200458,Anvi Mehra,3,2454,726,03-10-2022
200459,Raghav Hooda,1,1456,1119,12-01-2020
200460,Laksh Bose,4,769,955,05-01-2022
200461,Hrithik Khan,3,2051,1318,01-01-2024
200462,Zara Thakur,3,2097,198,29-12-2020
200463,Anika Dhillon,6,2710,1035,20-10-2020
200464,Vikram Jain,2,2411,944,30-05-2021
200465,Madhav Awasthi,6,2009,993,16-01-2023
200466,Vanya Punia,3,303,228,14-11-2022
200467,Navya Taneja,5,1183,1188,09-02-2022
200468,Kyra Goel,1,1499,1214,29-09-2023
200469,Shaurya Pandey,1,2006,217,11-01-2021
200470,Aarav Phogat,6,789,69,11-08-2023
200471,Sunita Sahay,6,274,316,23-09-2020
200472,Isha Sangwan,4,2224,725,01-04-2024
200473,Sanjay Rawat,5,917,466,29-02-2024
200474,Riya Nair,2,1661,104,24-02-2023
200475,Pooja Mahajan,3,470,94,06-11-2024
200476,Dhruv Reddy,5,853,805,03-04-2024
200477,Sameer Menon,6,116,770,30-05-2020
200478,Sanjay Dubey,6,650,899,03-04-2023
200479,Dev Dhillon,1,2683,275,27-12-2022
200480,Aadhya Solanki,6,970,376,08-01-2022
200481,Anvi Rathee,2,2205,978,13-01-2024
200482,Pari Mahajan,6,1321,630,17-12-2023
200483,Diya Pandey,1,123,414,03-05-2021
200484,Meher Agarwal,2,1116,661,10-09-2021
200485,Ayush Garg,2,985,871,04-10-2022
200486,Laksh Bose,1,1742,902,06-03-2020
200487,Inaya Deol,4,462,142,08-05-2024
200488,Rahul Oza,2,856,1048,19-10-2019
200489,Tanu Virk,4,1615,887,05-09-2023
200490,Aavya Mishra,1,1631,167,16-08-2021
200491,Ishita Mann,1,2018,583,20-08-2019
200492,Kabir Sandhu,1,1579,10,24-07-2023
200493,Ishani Dagar,2,956,675,11-03-2024
200494,Samarth Tripathi,1,1494,1268,23-06-2022
200495,Diya Kaur,1,17,740,16-09-2020
200496,Pari Chatterjee,3,2673,1457,11-11-2023
200497,Vihaan Dhanda,6,505,1487,03-08-2021
200498,Aadhya Pandey,2,1945,1258,08-09-2022
200499,Anjali Mann,1,1755,517,08-07-2024
200500,Arush Bahl,3,1446,768,28-07-2019
200501,Ishita Goswami,4,2960,979,14-03-2024
200502,Sana Sharma,2,213,556,10-10-2021
200503,Preeti Sekhon,1,2179,312,18-09-2020
200504,Kavya Tiwari,2,1039,715,09-03-2020
200505,Ranveer Chaturvedi,5,2210,1053,16-06-2022
200506,Madhav Malik,1,1478,904,17-01-2021
200507,Madhav Verma,4,2045,908,21-11-2020
200508,Kiran Agarwal,4,1819,367,16-05-2022
200509,Sai Bhatt,2,1885,1189,01-05-2022
200510,Arav Deshmukh,2,367,1093,23-06-2024
200511,Shanaya Khatri,2,1424,1206,29-08-2021
200512,Rahul Menon,6,2627,864,18-01-2022
200513,Ishant Grover,4,453,119,25-10-2022
200514,Manan Jain,3,1123,1229,30-08-2023
200515,Ishaan Sangwan,1,2315,575,26-04-2021
200516,Gia Kadian,1,87,1050,29-12-2022
200517,Krishna Goswami,2,1441,792,09-02-2020
200518,Riya Pillai,2,2278,471,30-10-2021
200519,Kiara Chaturvedi,1,1344,1293,05-12-2021
200520,Agastya Chauhan,4,847,317,27-03-2024
200521,Kyra Iyer,4,2159,439,02-01-2022
200522,Madhav Reddy,2,1504,791,08-06-2024
200523,Meher Prasad,1,1438,1072,27-05-2024
200524,Ishan Nair,6,2445,321,26-05-2021
200525,Sara Tiwari,6,1294,1072,05-12-2021
200526,Amit Dagar,5,2674,1215,30-11-2019
200527,Siya Goel,5,1732,624,06-09-2021
200528,Aaryan Lodi,3,1385,632,17-09-2024
200529,Aaryan Bajwa,1,2767,949,19-06-2022
200530,Aaryan Rathee,5,267,944,15-07-2021
200531,Ranveer Kadian,3,90,1357,21-04-2020
